tilt,prec,rad
90.0,180.0,2.0
90.0,180.0,1.99323880673
90.0,180.0,1.98646843033
90.0,180.0,1.97968894795
90.0,180.0,1.97290043683
90.0,180.0,1.96610297421
90.0,180.0,1.95929663739
90.0,180.0,1.9524815037
90.0,180.0,1.94565765052
90.0,180.0,1.93882515526
90.0,180.0,1.93198409536
90.0,180.0,1.92513454829
90.0,180.0,1.91827659158
90.0,180.0,1.91141030276
90.0,180.0,1.90453575943
90.0,180.0,1.89765303917
90.0,180.0,1.89076221965
90.0,180.0,1.88386337852
90.0,180.0,1.87695659349
90.0,180.0,1.87004194228
90.0,180.0,1.86311950265
90.0,180.0,1.85618935238
90.0,180.0,1.84925156927
90.0,180.0,1.84230623116
90.0,180.0,1.83535341589
90.0,180.0,1.82839320134
90.0,180.0,1.82142566542
90.0,180.0,1.81445088603
90.0,180.0,1.80746894111
90.0,180.0,1.80047990863
90.0,180.0,1.79348386656
90.0,180.0,1.78648089289
90.0,180.0,1.77947106564
90.0,180.0,1.77245446282
90.0,180.0,1.76543116247
90.0,180.0,1.75840124266
90.0,180.0,1.75136478144
90.0,180.0,1.7443218569
90.0,180.0,1.73727254711
90.0,180.0,1.7302169302
90.0,180.0,1.72315508425
90.0,180.0,1.71608708739
90.0,180.0,1.70901301775
90.0,180.0,1.70193295346
90.0,180.0,1.69484697265
90.0,180.0,1.68775515347
90.0,180.0,1.68065757406
90.0,180.0,1.67355431257
90.0,180.0,1.66644544717
90.0,180.0,1.65933105599
90.0,180.0,1.6522112172
90.0,180.0,1.64508600895
90.0,190.0,1.63795550939
90.0,190.0,1.63081979668
90.0,190.0,1.62367894896
90.0,190.0,1.61653304437
90.0,190.0,1.60938216106
90.0,190.0,1.60222637716
90.0,190.0,1.5950657708
90.0,190.0,1.58790042009
90.0,190.0,1.58073040316
90.0,190.0,1.5735557981
90.0,190.0,1.566376683
90.0,190.0,1.55919313596
90.0,190.0,1.55200523503
90.0,190.0,1.54481305828
90.0,190.0,1.53761668376
90.0,190.0,1.53041618948
90.0,190.0,1.52321165348
90.0,190.0,1.51600315374
90.0,190.0,1.50879076826
90.0,190.0,1.50157457499
90.0,190.0,1.49435465188
90.0,190.0,1.48713107685
90.0,190.0,1.47990392782
90.0,190.0,1.47267328267
90.0,190.0,1.46543921926
90.0,190.0,1.45820181543
90.0,190.0,1.450961149
90.0,190.0,1.44371729776
90.0,190.0,1.43647033947
90.0,190.0,1.42922035187
100.0,190.0,1.42196741268
100.0,190.0,1.41471159957
100.0,190.0,1.40745299021
100.0,190.0,1.40019166221
100.0,190.0,1.39292769318
100.0,190.0,1.38566116067
100.0,190.0,1.37839214222
100.0,190.0,1.37112071532
100.0,190.0,1.36384695743
100.0,190.0,1.35657094598
100.0,190.0,1.34929275836
100.0,190.0,1.34201247193
100.0,190.0,1.334730164
100.0,190.0,1.32744591186
100.0,190.0,1.32015979273
100.0,190.0,1.31287188383
100.0,190.0,1.3055822623
100.0,190.0,1.29829100527
100.0,190.0,1.2909981898
100.0,190.0,1.28370389293
100.0,190.0,1.27640819165
100.0,190.0,1.26911116288
100.0,200.0,1.26181288354
100.0,200.0,1.25451343045
100.0,200.0,1.24721288043
100.0,200.0,1.23991131021
100.0,200.0,1.23260879651
100.0,200.0,1.22530541598
100.0,200.0,1.2180012452
100.0,200.0,1.21069636074
100.0,200.0,1.20339083907
100.0,200.0,1.19608475665
100.0,200.0,1.18877818986
100.0,200.0,1.18147121503
100.0,200.0,1.17416390843
100.0,200.0,1.16685634629
100.0,200.0,1.15954860475
100.0,200.0,1.15224075992
100.0,200.0,1.14493288784
100.0,200.0,1.13762506449
100.0,200.0,1.13031736579
100.0,200.0,1.12300986759
100.0,200.0,1.1157026457
100.0,200.0,1.10839577583
100.0,200.0,1.10108933366
100.0,200.0,1.09378339479
100.0,200.0,1.08647803474
100.0,200.0,1.07917332899
100.0,200.0,1.07186935293
100.0,200.0,1.06456618189
100.0,200.0,1.05726389114
100.0,200.0,1.04996255587
100.0,200.0,1.04266225118
100.0,200.0,1.03536305214
100.0,200.0,1.02806503371
100.0,200.0,1.0207682708
100.0,200.0,1.01347283822
100.0,200.0,1.00617881074
100.0,200.0,0.998886263023
100.0,200.0,0.991595269668
100.0,200.0,0.984305905196
100.0,200.0,0.977018244047
100.0,200.0,0.969732360585
100.0,200.0,0.962448329091
100.0,200.0,0.955166223766
100.0,200.0,0.947886118728
100.0,200.0,0.940608088016
100.0,200.0,0.933332205581
100.0,200.0,0.926058545293
100.0,200.0,0.918787180935
100.0,200.0,0.911518186207
100.0,200.0,0.90425163472
100.0,200.0,0.896987599998
100.0,210.0,0.889726155477
100.0,210.0,0.882467374506
100.0,210.0,0.87521133034
100.0,210.0,0.867958096148
100.0,210.0,0.860707745004
100.0,210.0,0.853460349893
100.0,210.0,0.846215983704
100.0,210.0,0.838974719236
110.0,210.0,0.83173662919
110.0,210.0,0.824501786173
110.0,210.0,0.817270262697
110.0,210.0,0.810042131176
110.0,210.0,0.802817463927
110.0,210.0,0.795596333167
110.0,210.0,0.788378811017
110.0,210.0,0.781164969495
110.0,210.0,0.77395488052
110.0,210.0,0.766748615909
110.0,210.0,0.759546247377
110.0,210.0,0.752347846535
110.0,210.0,0.745153484892
110.0,210.0,0.73796323385
110.0,210.0,0.730777164709
110.0,210.0,0.72359534866
110.0,210.0,0.716417856788
110.0,210.0,0.70924476007
110.0,210.0,0.702076129377
110.0,210.0,0.694912035467
110.0,210.0,0.687752548992
110.0,210.0,0.680597740491
110.0,210.0,0.673447680391
110.0,210.0,0.66630243901
110.0,210.0,0.659162086549
110.0,210.0,0.652026693099
110.0,210.0,0.644896328634
110.0,210.0,0.637771063015
110.0,210.0,0.630650965986
110.0,210.0,0.623536107173
110.0,210.0,0.616426556088
110.0,210.0,0.609322382121
110.0,210.0,0.602223654547
110.0,210.0,0.595130442519
110.0,210.0,0.588042815069
110.0,210.0,0.580960841111
110.0,210.0,0.573884589435
110.0,210.0,0.566814128709
110.0,210.0,0.559749527476
110.0,210.0,0.552690854159
110.0,210.0,0.545638177053
110.0,210.0,0.538591564329
110.0,210.0,0.531551084032
110.0,210.0,0.524516804079
110.0,220.0,0.51748879226
110.0,220.0,0.510467116237
110.0,220.0,0.503451843543
110.0,220.0,0.496443041582
110.0,220.0,0.489440777625
110.0,220.0,0.482445118815
110.0,220.0,0.475456132162
110.0,220.0,0.468473884543
110.0,220.0,0.461498442701
110.0,220.0,0.454529873247
110.0,220.0,0.447568242656
110.0,220.0,0.440613617269
110.0,220.0,0.43366606329
110.0,220.0,0.426725646785
110.0,220.0,0.419792433686
110.0,220.0,0.412866489783
110.0,220.0,0.405947880729
110.0,220.0,0.399036672039
110.0,220.0,0.392132929086
110.0,220.0,0.385236717101
110.0,220.0,0.378348101177
110.0,220.0,0.371467146261
110.0,220.0,0.36459391716
110.0,220.0,0.357728478536
110.0,220.0,0.350870894907
110.0,220.0,0.344021230646
110.0,220.0,0.33717954998
110.0,220.0,0.330345916991
110.0,220.0,0.323520395613
110.0,220.0,0.316703049632
110.0,220.0,0.309893942688
110.0,220.0,0.30309313827
110.0,220.0,0.296300699717
110.0,220.0,0.28951669022
110.0,220.0,0.282741172818
110.0,220.0,0.275974210397
110.0,220.0,0.269215865693
120.0,220.0,0.262466201288
120.0,220.0,0.255725279611
120.0,220.0,0.248993162937
120.0,220.0,0.242269913386
120.0,220.0,0.235555592921
120.0,220.0,0.228850263353
120.0,220.0,0.222153986331
120.0,220.0,0.215466823352
120.0,220.0,0.208788835751
120.0,220.0,0.202120084706
120.0,220.0,0.195460631236
120.0,220.0,0.1888105362
120.0,220.0,0.182169860295
120.0,220.0,0.175538664061
120.0,220.0,0.168917007871
120.0,230.0,0.16230495194
120.0,230.0,0.155702556318
120.0,230.0,0.149109880891
120.0,230.0,0.142526985382
120.0,230.0,0.135953929348
120.0,230.0,0.129390772183
120.0,230.0,0.122837573113
120.0,230.0,0.116294391197
120.0,230.0,0.109761285329
120.0,230.0,0.103238314232
120.0,230.0,0.0967255364644
120.0,230.0,0.0902230104125
120.0,230.0,0.0837307942945
120.0,230.0,0.0772489461581
120.0,230.0,0.0707775238803
120.0,230.0,0.0643165851668
120.0,230.0,0.0578661875512
120.0,230.0,0.0514263883947
120.0,230.0,0.0449972448855
120.0,230.0,0.0385788140379
120.0,230.0,0.0321711526922
120.0,230.0,0.0257743175137
120.0,230.0,0.0193883649925
120.0,230.0,0.0130133514426
120.0,230.0,0.00664933300154
120.0,230.0,0.000296365629738
120.0,230.0,-0.00604549488998
120.0,230.0,-0.012376192953
120.0,230.0,-0.0186956731335
120.0,230.0,-0.025003880185
120.0,230.0,-0.0313007590407
120.0,230.0,-0.0375862548145
120.0,230.0,-0.043860312801
120.0,230.0,-0.0501228784764
120.0,230.0,-0.0563738974992
120.0,230.0,-0.0626133157101
120.0,230.0,-0.0688410791331
120.0,230.0,-0.0750571339759
120.0,230.0,-0.0812614266304
120.0,230.0,-0.0874539036732
120.0,230.0,-0.0936345118662
120.0,230.0,-0.099803198157
120.0,230.0,-0.10595990968
120.0,230.0,-0.112104593755
120.0,230.0,-0.118237197891
120.0,230.0,-0.124357669784
120.0,230.0,-0.130465957318
120.0,230.0,-0.136562008567
120.0,230.0,-0.142645771793
120.0,230.0,-0.14871719545
120.0,230.0,-0.154776228179
120.0,240.0,-0.160822818816
120.0,240.0,-0.166856916385
120.0,240.0,-0.172878470104
120.0,240.0,-0.178887429383
120.0,240.0,-0.184883743825
120.0,240.0,-0.190867363225
120.0,240.0,-0.196838237574
120.0,240.0,-0.202796317056
120.0,240.0,-0.20874155205
120.0,240.0,-0.214673893131
120.0,240.0,-0.22059329107
120.0,240.0,-0.226499696833
120.0,240.0,-0.232393061583
120.0,240.0,-0.238273336682
120.0,240.0,-0.244140473688
130.0,240.0,-0.249994424358
130.0,240.0,-0.255835140646
130.0,240.0,-0.261662574708
130.0,240.0,-0.267476678897
130.0,240.0,-0.273277405768
130.0,240.0,-0.279064708074
130.0,240.0,-0.284838538772
130.0,240.0,-0.290598851018
130.0,240.0,-0.29634559817
130.0,240.0,-0.30207873379
130.0,240.0,-0.307798211641
130.0,240.0,-0.31350398569
130.0,240.0,-0.319196010108
130.0,240.0,-0.324874239268
130.0,240.0,-0.330538627749
130.0,240.0,-0.336189130336
130.0,240.0,-0.341825702017
130.0,240.0,-0.347448297986
130.0,240.0,-0.353056873645
130.0,240.0,-0.358651384602
130.0,240.0,-0.36423178667
130.0,240.0,-0.369798035871
130.0,240.0,-0.375350088435
130.0,240.0,-0.3808879008
130.0,240.0,-0.386411429612
130.0,240.0,-0.391920631726
130.0,240.0,-0.397415464209
130.0,240.0,-0.402895884333
130.0,240.0,-0.408361849585
130.0,240.0,-0.413813317659
130.0,240.0,-0.419250246463
130.0,240.0,-0.424672594114
130.0,240.0,-0.430080318942
130.0,240.0,-0.435473379489
130.0,240.0,-0.440851734509
130.0,240.0,-0.446215342969
130.0,240.0,-0.451564164051
130.0,250.0,-0.456898157147
130.0,250.0,-0.462217281867
130.0,250.0,-0.467521498034
130.0,250.0,-0.472810765683
130.0,250.0,-0.478085045069
130.0,250.0,-0.483344296659
130.0,250.0,-0.488588481136
130.0,250.0,-0.493817559402
130.0,250.0,-0.499031492571
130.0,250.0,-0.504230241978
130.0,250.0,-0.509413769174
130.0,250.0,-0.514582035926
130.0,250.0,-0.51973500422
130.0,250.0,-0.524872636262
130.0,250.0,-0.529994894473
130.0,250.0,-0.535101741495
130.0,250.0,-0.54019314019
130.0,250.0,-0.545269053639
130.0,250.0,-0.550329445141
130.0,250.0,-0.555374278217
130.0,250.0,-0.560403516609
130.0,250.0,-0.565417124278
130.0,250.0,-0.570415065408
130.0,250.0,-0.575397304404
130.0,250.0,-0.580363805891
130.0,250.0,-0.585314534719
130.0,250.0,-0.590249455957
130.0,250.0,-0.595168534901
