,temp,date,time,time_of_day,day_of_year
0,0.1897583640902063,2014-01-01,00:00,0,1
1,0.3768818537052425,2014-01-01,01:00,1,1
2,0.9210888142008207,2014-01-01,02:00,2,1
3,1.782145286580203,2014-01-01,03:00,3,1
4,2.8963185981213733,2014-01-01,04:00,4,1
5,4.181104123089422,2014-01-01,05:00,5,1
6,5.541344273327631,2014-01-01,06:00,6,1
7,6.876285901187633,2014-01-01,07:00,7,1
8,8.087052699508792,2014-01-01,08:00,8,1
9,9.083978404924306,2014-01-01,09:00,9,1
10,9.79325693435198,2014-01-01,10:00,10,1
11,10.162416244468469,2014-01-01,11:00,11,1
12,10.16420994305108,2014-01-01,12:00,12,1
13,9.798638029176818,2014-01-01,13:00,13,1
14,9.092946893222381,2014-01-01,14:00,14,1
15,8.099608576665123,2014-01-01,15:00,15,1
16,6.892429160741248,2014-01-01,16:00,16,1
17,5.561074906971577,2014-01-01,17:00,17,1
18,4.2044221206707615,2014-01-01,18:00,18,1
19,2.923223947641189,2014-01-01,19:00,19,1
20,1.812637974193616,2014-01-01,20:00,20,1
21,0.9551688242169822,2014-01-01,21:00,21,1
22,0.41454916858735036,2014-01-01,22:00,22,1
23,0.23101296445551434,2014-01-01,23:00,23,1
24,0.23289792337088144,2014-01-02,00:00,0,2
25,0.42020404436349423,2014-01-02,01:00,1,2
26,0.9645936139440314,2014-01-02,02:00,2,2
27,1.825832673021786,2014-01-02,03:00,3,2
28,2.9401885487807884,2014-01-02,04:00,4,2
29,4.225156615392186,2014-01-02,05:00,5,2
30,5.585579284605334,2014-01-02,06:00,6,2
31,6.920703408677935,2014-01-02,07:00,7,2
32,8.131652680355447,2014-01-02,08:00,8,2
33,9.128760836177186,2014-01-02,09:00,9,2
34,9.838221792967051,2014-01-02,10:00,10,2
35,10.207563507307835,2014-01-02,11:00,11,2
36,10.209539586882983,2014-01-02,12:00,12,2
37,9.84415003067565,2014-01-02,13:00,13,2
38,9.138641228968694,2014-01-02,14:00,14,2
